domain,file,true,prediction,C_horizons,Impr_C_horizons
depots,p213,8,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p260,10,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p297,14,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
depots,p310,11,16,"[16, 21, 23, 26, 30, 36, 44, 56, 73, 96, 129, 176, 242]","[20, 28, 40, 57, 80, 113, 160, 226]"
depots,p282,11,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p263,10,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p210,9,9,"[9, 14, 16, 19, 23, 29, 37, 49, 66, 89, 122, 169, 235]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p307,10,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p211,8,9,"[9, 14, 16, 19, 23, 29, 37, 49, 66, 89, 122, 169, 235]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p296,13,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p231,9,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p305,10,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p253,10,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p258,9,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p239,9,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p275,14,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p238,9,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p262,9,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p214,9,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p276,10,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p236,10,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p309,11,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p302,10,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p234,9,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p237,9,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p191,9,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p287,12,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p285,11,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p252,10,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p190,9,9,"[9, 14, 16, 19, 23, 29, 37, 49, 66, 89, 122, 169, 235]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p274,11,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p301,12,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p303,11,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p311,11,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
depots,p257,9,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p283,11,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p304,10,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p286,10,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p233,9,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p279,11,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p209,8,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p230,10,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p281,9,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
depots,p277,10,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
barman,p21,29,30,"[30, 35, 37, 40, 44, 50, 58, 70, 87, 110, 143, 190, 256]","[40, 57, 80, 113, 160, 226]"
barman,p26,29,33,"[33, 38, 40, 43, 47, 53, 61, 73, 90, 113, 146, 193, 259]","[40, 57, 80, 113, 160, 226]"
barman,p49,28,32,"[32, 37, 39, 42, 46, 52, 60, 72, 89, 112, 145, 192, 258]","[40, 57, 80, 113, 160, 226]"
barman,p24,30,34,"[34, 39, 41, 44, 48, 54, 62, 74, 91, 114, 147, 194, 260]","[40, 57, 80, 113, 160, 226]"
barman,p29,30,35,"[35, 40, 42, 45, 49, 55, 63, 75, 92, 115, 148, 195, 261]","[40, 57, 80, 113, 160, 226]"
barman,p95,38,49,"[49, 54, 56, 59, 63, 69, 77, 89, 106, 129, 162, 209, 275]","[57, 80, 113, 160, 226]"
barman,p253,43,43,"[43, 48, 50, 53, 57, 63, 71, 83, 100, 123, 156, 203, 269]","[57, 80, 113, 160, 226]"
barman,p25,29,31,"[31, 36, 38, 41, 45, 51, 59, 71, 88, 111, 144, 191, 257]","[40, 57, 80, 113, 160, 226]"
barman,p70,37,32,"[32, 37, 39, 42, 46, 52, 60, 72, 89, 112, 145, 192, 258]","[40, 57, 80, 113, 160, 226]"
barman,p89,37,48,"[48, 53, 55, 58, 62, 68, 76, 88, 105, 128, 161, 208, 274]","[57, 80, 113, 160, 226]"
barman,p90,37,47,"[47, 52, 54, 57, 61, 67, 75, 87, 104, 127, 160, 207, 273]","[57, 80, 113, 160, 226]"
barman,p296,56,44,"[44, 49, 51, 54, 58, 64, 72, 84, 101, 124, 157, 204, 270]","[57, 80, 113, 160, 226]"
barman,p92,37,45,"[45, 50, 52, 55, 59, 65, 73, 85, 102, 125, 158, 205, 271]","[57, 80, 113, 160, 226]"
barman,p252,43,41,"[41, 46, 48, 51, 55, 61, 69, 81, 98, 121, 154, 201, 267]","[57, 80, 113, 160, 226]"
barman,p88,43,30,"[30, 35, 37, 40, 44, 50, 58, 70, 87, 110, 143, 190, 256]","[40, 57, 80, 113, 160, 226]"
barman,p275,49,43,"[43, 48, 50, 53, 57, 63, 71, 83, 100, 123, 156, 203, 269]","[57, 80, 113, 160, 226]"
barman,p273,49,42,"[42, 47, 49, 52, 56, 62, 70, 82, 99, 122, 155, 202, 268]","[57, 80, 113, 160, 226]"
barman,p87,36,44,"[44, 49, 51, 54, 58, 64, 72, 84, 101, 124, 157, 204, 270]","[57, 80, 113, 160, 226]"
barman,p23,21,28,"[28, 33, 35, 38, 42, 48, 56, 68, 85, 108, 141, 188, 254]","[28, 40, 57, 80, 113, 160, 226]"
barman,p52,29,34,"[34, 39, 41, 44, 48, 54, 62, 74, 91, 114, 147, 194, 260]","[40, 57, 80, 113, 160, 226]"
barman,p93,37,50,"[50, 55, 57, 60, 64, 70, 78, 90, 107, 130, 163, 210, 276]","[57, 80, 113, 160, 226]"
barman,p76,38,37,"[37, 42, 44, 47, 51, 57, 65, 77, 94, 117, 150, 197, 263]","[40, 57, 80, 113, 160, 226]"
barman,p91,43,32,"[32, 37, 39, 42, 46, 52, 60, 72, 89, 112, 145, 192, 258]","[40, 57, 80, 113, 160, 226]"
barman,p71,37,49,"[49, 54, 56, 59, 63, 69, 77, 89, 106, 129, 162, 209, 275]","[57, 80, 113, 160, 226]"
barman,p22,28,32,"[32, 37, 39, 42, 46, 52, 60, 72, 89, 112, 145, 192, 258]","[40, 57, 80, 113, 160, 226]"
barman,p96,37,55,"[55, 60, 62, 65, 69, 75, 83, 95, 112, 135, 168, 215, 281]","[57, 80, 113, 160, 226]"
barman,p28,30,35,"[35, 40, 42, 45, 49, 55, 63, 75, 92, 115, 148, 195, 261]","[40, 57, 80, 113, 160, 226]"
barman,p73,38,33,"[33, 38, 40, 43, 47, 53, 61, 73, 90, 113, 146, 193, 259]","[40, 57, 80, 113, 160, 226]"
barman,p48,36,32,"[32, 37, 39, 42, 46, 52, 60, 72, 89, 112, 145, 192, 258]","[40, 57, 80, 113, 160, 226]"
barman,p274,49,41,"[41, 46, 48, 51, 55, 61, 69, 81, 98, 121, 154, 201, 267]","[57, 80, 113, 160, 226]"
barman,p69,30,42,"[42, 47, 49, 52, 56, 62, 70, 82, 99, 122, 155, 202, 268]","[57, 80, 113, 160, 226]"
barman,p51,36,34,"[34, 39, 41, 44, 48, 54, 62, 74, 91, 114, 147, 194, 260]","[40, 57, 80, 113, 160, 226]"
floortile,p470,18,16,"[16, 21, 23, 26, 30, 36, 44, 56, 73, 96, 129, 176, 242]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p330,26,24,"[24, 29, 31, 34, 38, 44, 52, 64, 81, 104, 137, 184, 250]","[28, 40, 57, 80, 113, 160, 226]"
floortile,p570,12,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p585,17,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p340,24,22,"[22, 27, 29, 32, 36, 42, 50, 62, 79, 102, 135, 182, 248]","[28, 40, 57, 80, 113, 160, 226]"
floortile,p578,15,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p549,11,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p564,12,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p335,25,23,"[23, 28, 30, 33, 37, 43, 51, 63, 80, 103, 136, 183, 249]","[28, 40, 57, 80, 113, 160, 226]"
floortile,p568,13,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p559,10,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p547,11,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p481,20,18,"[18, 23, 25, 28, 32, 38, 46, 58, 75, 98, 131, 178, 244]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p469,17,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p586,15,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p548,11,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p462,17,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p552,11,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p468,18,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p464,19,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p474,20,17,"[17, 22, 24, 27, 31, 37, 45, 57, 74, 97, 130, 177, 243]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p480,20,17,"[17, 22, 24, 27, 31, 37, 45, 57, 74, 97, 130, 177, 243]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p542,10,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p332,27,22,"[22, 27, 29, 32, 36, 42, 50, 62, 79, 102, 135, 182, 248]","[28, 40, 57, 80, 113, 160, 226]"
floortile,p482,20,17,"[17, 22, 24, 27, 31, 37, 45, 57, 74, 97, 130, 177, 243]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p567,12,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p545,11,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p465,17,16,"[16, 21, 23, 26, 30, 36, 44, 56, 73, 96, 129, 176, 242]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p577,14,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p591,17,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p336,25,22,"[22, 27, 29, 32, 36, 42, 50, 62, 79, 102, 135, 182, 248]","[28, 40, 57, 80, 113, 160, 226]"
floortile,p582,14,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p338,26,22,"[22, 27, 29, 32, 36, 42, 50, 62, 79, 102, 135, 182, 248]","[28, 40, 57, 80, 113, 160, 226]"
floortile,p574,15,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p587,17,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p471,17,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p458,16,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p580,15,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p583,16,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p473,19,17,"[17, 22, 24, 27, 31, 37, 45, 57, 74, 97, 130, 177, 243]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p590,16,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p467,17,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p573,15,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p540,11,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p566,11,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p556,10,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p479,19,16,"[16, 21, 23, 26, 30, 36, 44, 56, 73, 96, 129, 176, 242]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p546,11,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p575,13,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p569,13,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p555,9,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p543,12,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p553,10,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p334,27,22,"[22, 27, 29, 32, 36, 42, 50, 62, 79, 102, 135, 182, 248]","[28, 40, 57, 80, 113, 160, 226]"
floortile,p558,11,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p593,15,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p592,16,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p562,13,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p584,16,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p472,16,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p541,12,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p588,15,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p463,18,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p337,26,22,"[22, 27, 29, 32, 36, 42, 50, 62, 79, 102, 135, 182, 248]","[28, 40, 57, 80, 113, 160, 226]"
floortile,p581,14,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p563,14,12,"[12, 17, 19, 22, 26, 32, 40, 52, 69, 92, 125, 172, 238]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p560,10,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p475,21,17,"[17, 22, 24, 27, 31, 37, 45, 57, 74, 97, 130, 177, 243]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p579,14,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p576,15,13,"[13, 18, 20, 23, 27, 33, 41, 53, 70, 93, 126, 173, 239]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p478,19,17,"[17, 22, 24, 27, 31, 37, 45, 57, 74, 97, 130, 177, 243]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p466,18,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p589,16,15,"[15, 20, 22, 25, 29, 35, 43, 55, 72, 95, 128, 175, 241]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p571,12,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p550,10,10,"[10, 15, 17, 20, 24, 30, 38, 50, 67, 90, 123, 170, 236]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p459,16,14,"[14, 19, 21, 24, 28, 34, 42, 54, 71, 94, 127, 174, 240]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p476,20,16,"[16, 21, 23, 26, 30, 36, 44, 56, 73, 96, 129, 176, 242]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p539,10,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p561,12,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p333,26,23,"[23, 28, 30, 33, 37, 43, 51, 63, 80, 103, 136, 183, 249]","[28, 40, 57, 80, 113, 160, 226]"
floortile,p483,19,17,"[17, 22, 24, 27, 31, 37, 45, 57, 74, 97, 130, 177, 243]","[20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p565,14,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p544,11,11,"[11, 16, 18, 21, 25, 31, 39, 51, 68, 91, 124, 171, 237]","[14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p557,11,9,"[9, 14, 16, 19, 23, 29, 37, 49, 66, 89, 122, 169, 235]","[10, 14, 20, 28, 40, 57, 80, 113, 160, 226]"
floortile,p339,26,23,"[23, 28, 30, 33, 37, 43, 51, 63, 80, 103, 136, 183, 249]","[28, 40, 57, 80, 113, 160, 226]"
